date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2010,01_AUS,activity,all,passenger_km_or_freight_tonne_km,ship,passenger,all,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev,yearly
2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,phev,yearly
2010,01_AUS,efficiency,bus,km_per_pj,road,passenger,fcev,yearly
2010,01_AUS,efficiency,ht,km_per_pj,road,freight,fcev,yearly
2010,01_AUS,efficiency,ht,km_per_pj,road,freight,phev,yearly
2010,01_AUS,energy,2w,pj,road,passenger,bev,yearly
2010,01_AUS,energy,2w,pj,road,passenger,ice,yearly
2010,01_AUS,energy,all,pj,air,freight,all,yearly
2010,01_AUS,energy,all,pj,air,passenger,all,yearly
2010,01_AUS,energy,all,pj,rail,freight,all,yearly
2010,01_AUS,energy,all,pj,rail,passenger,all,yearly
2010,01_AUS,energy,all,pj,ship,freight,all,yearly
2010,01_AUS,energy,all,pj,ship,passenger,all,yearly
2010,01_AUS,energy,bus,pj,road,passenger,bev,yearly
2010,01_AUS,energy,bus,pj,road,passenger,fcev,yearly
2010,01_AUS,energy,bus,pj,road,passenger,ice,yearly
2010,01_AUS,energy,bus,pj,road,passenger,phev,yearly
2010,01_AUS,energy,ht,pj,road,freight,bev,yearly
2010,01_AUS,energy,ht,pj,road,freight,fcev,yearly
2010,01_AUS,energy,ht,pj,road,freight,ice,yearly
2010,01_AUS,energy,ht,pj,road,freight,phev,yearly
2010,01_AUS,energy,ldv,pj,road,passenger,bev,yearly
2010,01_AUS,energy,ldv,pj,road,passenger,fcev,yearly
2010,01_AUS,energy,ldv,pj,road,passenger,ice,yearly
2010,01_AUS,energy,ldv,pj,road,passenger,phev,yearly
2010,01_AUS,intensity,all,pj_per_unit_km,air,freight,all,yearly
2010,01_AUS,intensity,all,pj_per_unit_km,air,passenger,all,yearly
2010,01_AUS,intensity,all,pj_per_unit_km,rail,freight,all,yearly
2010,01_AUS,intensity,all,pj_per_unit_km,rail,passenger,all,yearly
2010,01_AUS,intensity,all,pj_per_unit_km,ship,freight,all,yearly
2010,01_AUS,intensity,all,pj_per_unit_km,ship,passenger,all,yearly
2010,01_AUS,new_vehicle_efficiency,bus,km_per_pj,road,passenger,fcev,yearly
2010,01_AUS,new_vehicle_efficiency,ht,km_per_pj,road,freight,fcev,yearly
2010,01_AUS,new_vehicle_efficiency,ht,km_per_pj,road,freight,phev,yearly
2010,01_AUS,stocks,2w,stocks,road,passenger,bev,yearly
2010,01_AUS,stocks,all,stocks,air,freight,all,yearly
2010,01_AUS,stocks,all,stocks,air,passenger,all,yearly
2010,01_AUS,stocks,all,stocks,rail,freight,all,yearly
2010,01_AUS,stocks,all,stocks,rail,passenger,all,yearly
2010,01_AUS,stocks,all,stocks,ship,freight,all,yearly
2010,01_AUS,stocks,all,stocks,ship,passenger,all,yearly
2010,01_AUS,stocks,bus,stocks,road,passenger,bev,yearly
2010,01_AUS,stocks,bus,stocks,road,passenger,fcev,yearly
2010,01_AUS,stocks,bus,stocks,road,passenger,phev,yearly
2010,01_AUS,stocks,ht,stocks,road,freight,bev,yearly
2010,01_AUS,stocks,ht,stocks,road,freight,fcev,yearly
2010,01_AUS,stocks,ht,stocks,road,freight,ice,yearly
2010,01_AUS,stocks,ht,stocks,road,freight,phev,yearly
2010,01_AUS,stocks,ldv,stocks,road,passenger,bev,yearly
2010,01_AUS,stocks,ldv,stocks,road,passenger,fcev,yearly
2010,01_AUS,stocks,ldv,stocks,road,passenger,phev,yearly
2010,01_AUS,turnover_rate,bus,%,road,passenger,fcev,yearly
2010,01_AUS,turnover_rate,ht,%,road,freight,fcev,yearly
2010,01_AUS,turnover_rate,ht,%,road,freight,phev,yearly
2010,02_BD,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,02_BD,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2010,02_BD,activity,all,passenger_km_or_freight_tonne_km,air,passenger,all,yearly
2010,02_BD,activity,all,passenger_km_or_freight_tonne_km,rail,freight,all,yearly
2010,02_BD,activity,all,passenger_km_or_freight_tonne_km,rail,passenger,all,yearly
2010,02_BD,activity,all,passenger_km_or_freight_tonne_km,ship,freight,all,yearly
2010,02_BD,activity,all,passenger_km_or_freight_tonne_km,ship,passenger,all,yearly
2010,02_BD,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,02_BD,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,02_BD,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2010,02_BD,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev,yearly
2010,02_BD,activity,ht,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
2010,02_BD,activity,ht,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
2010,02_BD,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice,yearly
2010,02_BD,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev,yearly
2010,02_BD,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,02_BD,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,02_BD,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2010,02_BD,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,phev,yearly
2010,02_BD,efficiency,bus,km_per_pj,road,passenger,fcev,yearly
2010,02_BD,efficiency,ht,km_per_pj,road,freight,fcev,yearly
2010,02_BD,efficiency,ht,km_per_pj,road,freight,phev,yearly
2010,02_BD,energy,2w,pj,road,passenger,bev,yearly
2010,02_BD,energy,2w,pj,road,passenger,ice,yearly
