,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
0,2010,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
1,2010,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
2,2011,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
3,2011,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
4,2012,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
5,2012,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
6,2013,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
7,2013,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
8,2014,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
9,2014,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
10,2015,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
11,2015,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
12,2016,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
13,2016,08_JPN,turnover_rate,2w,%,road,passenger,bev,all,yearly,national,['manually_inputted_data $ guess'],1,0.42,manually_inputted_data $ guess,0.03,manual,no_comment
14,2017,08_JPN,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['avg_eff_no_outliers $ transport_data_system_9th', 'usa_alternative_fuels_data_center']",2,60158949270.8943,usa_alternative_fuels_data_center,2078609221.4663649,manual,no_comment
