economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,drive,vehicle_type,transport_type,value
20_USA,1980,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1980,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1980,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1981,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1981,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1981,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1982,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1982,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1982,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1983,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1983,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1983,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1984,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1984,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1984,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1985,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1985,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1985,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1986,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1986,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1986,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1987,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1987,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1987,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1988,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1988,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1988,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1989,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1989,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1989,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1990,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1990,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1990,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1991,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1991,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1991,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1992,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1992,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1992,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1993,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1993,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1993,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1994,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1994,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1994,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1995,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1995,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1995,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1996,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1996,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1996,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1997,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1997,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1997,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1998,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1998,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1998,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1999,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1999,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,1999,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2000,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2000,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2000,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2001,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2001,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2001,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2002,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2002,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2002,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2003,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2003,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2003,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2004,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2004,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2004,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2005,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2005,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2005,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2006,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2006,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2006,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2007,air,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2007,rail,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
20_USA,2007,ship,energy,egeda_split_into_transport_types_using_8th $ egeda_9th_cleansed,pj,all,no_comment,national,yearly,all,all,freight,
