,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
0,2010,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
1,2010,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
2,2011,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
3,2011,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
4,2012,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
5,2012,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
6,2013,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
7,2013,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
8,2014,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
9,2014,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
10,2015,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
11,2015,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
12,2016,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
13,2016,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
14,2017,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
15,2017,14_PE,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['8th_-_new_vtypes_and_drives $ reference'],1,2758675.1938404,8th_-_new_vtypes_and_drives $ reference,2758675.1938404,single_datapoint,no_comment
16,2017,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,"['8th_-_new_vtypes_and_drives $ reference', '9th_outlook_esto']",2,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
17,2018,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
18,2018,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
19,2019,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
20,2019,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
21,2020,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
22,2020,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
23,2021,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
24,2021,14_PE,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.001143839406845,9th_outlook_esto,0.0,manual,no_comment
25,2022,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
26,2010,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
27,2010,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
28,2011,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
29,2011,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
30,2012,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
31,2012,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
32,2013,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
33,2013,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
34,2014,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
35,2014,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
36,2015,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
37,2015,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
38,2016,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
39,2016,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
40,2017,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
41,2017,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
42,2018,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
43,2018,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
44,2019,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
45,2019,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
46,2020,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
47,2020,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
48,2021,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
49,2021,14_PE,energy,2w,pj,road,passenger,ice_d,all,yearly,national,['9th_outlook_esto'],1,0.0,9th_outlook_esto,0.0,single_datapoint,no_comment
50,2022,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_d,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,15903486682.158934,usa_alternative_fuels_data_center,552284848.0517681,manual,no_comment
51,2010,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
52,2010,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
53,2011,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
54,2011,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
55,2012,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
56,2012,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
57,2013,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
58,2013,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
59,2014,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
60,2014,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
61,2015,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,usa_alternative_fuels_data_center,538620369.9569243,manual,no_comment
62,2015,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
63,2016,14_PE,new_vehicle_efficiency,2w,km_per_pj,road,passenger,ice_g,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,14722613346.315086,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,593888348.99039,manual,usa_data
64,2016,14_PE,energy,2w,pj,road,passenger,ice_g,all,yearly,national,['9th_outlook_esto'],1,3.985879295151994,9th_outlook_esto,0.0,manual,no_comment
