,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,fuel,frequency,scope,potential_datapoints,num_datapoints,sum_of_values,dataset,value,dataset_selection_method,comment
0,2010,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
1,2010,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
2,2011,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
3,2011,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
4,2012,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
5,2012,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
6,2013,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center,2078609221.46636,manual,usa_data
7,2013,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
8,2014,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
9,2014,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
10,2015,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
11,2015,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
12,2016,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
13,2016,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,['9th_outlook_esto'],1,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
14,2017,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
15,2017,15_PHL,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,all,yearly,national,['8th_-_new_vtypes_and_drives $ reference'],1,9933000.0,8th_-_new_vtypes_and_drives $ reference,0.0,single_datapoint,no_comment
16,2017,15_PHL,energy,2w,pj,road,passenger,bev,all,yearly,national,"['8th_-_new_vtypes_and_drives $ reference', '9th_outlook_esto']",2,0.006446843430589467,9th_outlook_esto,0.0,manual,no_comment
17,2018,15_PHL,new_vehicle_efficiency,2w,km_per_pj,road,passenger,bev,all,yearly,national,"['manually_inputted_data_cleaned_road $ usa_alternative_fuels_data_center', 'usa_alternative_fuels_data_center']",2,45230831149.18894,usa_alternative_fuels_data_center,1400685482.3174047,manual,no_comment
