,Date,Economy,Measure,Vehicle Type,Unit,Medium,Transport Type,Drive,Fuel_Type,Frequency,Scope,level_0,index,Final_dataset_selection_method,Value,Dataset
0,2010-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14124.0,14264.0,Automatic,133649000000.0,ATO $ Country Official Statistics
1,2011-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14125.0,14265.0,Automatic,126067000000.0,ATO $ Country Official Statistics
2,2012-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14126.0,14266.0,Automatic,140317000000.0,ATO $ Country Official Statistics
3,2013-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14127.0,14267.0,Automatic,150774000000.0,ATO $ Country Official Statistics
4,2014-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14128.0,14268.0,Automatic,161981000000.0,ATO $ Country Official Statistics
5,2015-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14129.0,14269.0,Automatic,172984000000.0,ATO $ Country Official Statistics
6,2016-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14130.0,14270.0,Automatic,183132000000.0,ATO $ Country Official Statistics
7,2017-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14131.0,14271.0,Automatic,193225000000.0,ATO $ Country Official Statistics
8,2018-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14132.0,14272.0,interpolation,193225000000.0,
9,2019-12-31,08_JPN,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14133.0,14273.0,interpolation,193225000000.0,
10,2010-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14134.0,14274.0,Automatic,3004000000.0,ATO $ Country Official Statistics
11,2011-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14135.0,14275.0,Automatic,3047000000.0,ATO $ Country Official Statistics
12,2012-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14136.0,14276.0,Automatic,3092000000.0,ATO $ Country Official Statistics
13,2013-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14137.0,14277.0,Automatic,3265000000.0,ATO $ Country Official Statistics
14,2014-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14138.0,14278.0,Automatic,2923000000.0,ATO $ Country Official Statistics
15,2015-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14139.0,14279.0,Automatic,3139000000.0,ATO $ Country Official Statistics
16,2016-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14140.0,14280.0,Automatic,3275000000.0,ATO $ Country Official Statistics
17,2017-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14141.0,14281.0,Automatic,3191000000.0,ATO $ Country Official Statistics
18,2018-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14142.0,14282.0,Automatic,3364000000.0,ATO $ Country Official Statistics
19,2019-12-31,08_JPN,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14143.0,14283.0,interpolation,3364000000.0,
20,2010-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14144.0,14294.0,Automatic,135770783780.0,ATO $ Country Official Statistics
21,2011-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14145.0,14295.0,Automatic,148393975328.0,ATO $ Country Official Statistics
22,2012-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14146.0,14296.0,Automatic,162734832587.0,ATO $ Country Official Statistics
23,2013-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14147.0,14297.0,Automatic,172962561667.0,ATO $ Country Official Statistics
24,2014-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14148.0,14298.0,Automatic,183139982705.0,ATO $ Country Official Statistics
25,2015-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14149.0,14299.0,Automatic,198443391184.0,ATO $ Country Official Statistics
26,2016-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14150.0,14300.0,Automatic,224081038844.0,ATO $ Country Official Statistics
27,2017-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14151.0,14301.0,Automatic,243641271520.0,ATO $ Country Official Statistics
28,2018-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14152.0,14302.0,Automatic,178239190042.0,"ATO $ UN Statistics Division, ITF"
29,2019-12-31,09_ROK,passenger_km,,passenger_km,air,passenger,,,Yearly,"National, International",14153.0,14303.0,interpolation,178239190042.0,
30,2010-12-31,09_ROK,passenger_km,,passenger_km,ship,passenger,,,Yearly,National,14154.0,14304.0,Automatic,1987205713.0,ATO $ Country Official Statistics
