Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Year,Value
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1985,109245.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1986,120543.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1987,162444.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1988,217006.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1989,227616.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1990,273139.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1991,300134.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1992,344443.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1993,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1993,451000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1993,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1993,464337.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1993,78000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1993,66000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1993,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1993,3131711.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1993,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1993,644000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1993,1000000.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1994,2012776.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1994,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1994,453000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1994,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1994,550019.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1994,3000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1994,87000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1994,65000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1994,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1994,3836155.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1994,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1994,725000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1994,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1994,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1995,2150289.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1995,1533846.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1995,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1995,450000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1995,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1995,569970.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1995,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1995,96000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1995,64000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1995,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1995,4488064.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1995,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1995,729000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1995,15000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1995,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1996,2306239.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1996,1714999.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1996,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1996,448000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1996,1000000.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1996,684362.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1996,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1996,104000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1996,58000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1996,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1996,4898297.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1996,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1996,738000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1996,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1996,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1997,2504638.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1997,1859452.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1997,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1997,0.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1997,0.0
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,1997,902875.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1997,4000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1997,119000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1997,53000000.0
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1997,0.0
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,1997,5475040.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1997,3000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1997,733000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,1997,14000000.0
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,1997,0.0
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,1998,2699821.0
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,1998,1958212.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,1998,2000000.0
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,1998,0.0
