,measure,medium,unit,economy,transport_type,vehicle_type,fuel,comment,scope,frequency,date,dataset,drive,value
0,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1990,ato $ country_official_statistics,bev,0.0
1,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1991,ato $ country_official_statistics,bev,0.0
2,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1992,ato $ country_official_statistics,bev,0.0
3,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1993,ato $ country_official_statistics,bev,0.0
4,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1994,ato $ country_official_statistics,bev,0.0
5,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1995,ato $ country_official_statistics,bev,0.0
6,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1996,ato $ country_official_statistics,bev,0.0
7,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1997,ato $ country_official_statistics,bev,0.0
8,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1998,ato $ country_official_statistics,bev,0.0
9,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,1999,ato $ country_official_statistics,bev,0.0
10,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2000,ato $ country_official_statistics,bev,0.0
11,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2001,ato $ country_official_statistics,bev,0.0
12,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2002,ato $ country_official_statistics,bev,0.0
13,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2003,ato $ country_official_statistics,bev,0.0
14,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2004,ato $ country_official_statistics,bev,0.0
15,stocks,road,stocks,08_JPN,passenger,2w,all,no_comment,national,yearly,2005,ato $ country_official_statistics,bev,0.0
