,vehicle_type,transport_type,economy,date,medium,measure,unit,fuel,comment,scope,frequency,dataset,drive,value
0,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,bev,0.0
1,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,bev,0.0
2,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
3,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
4,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
5,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
6,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
7,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
8,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
9,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
10,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,bev,0.0
11,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,phev,0.0
12,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,phev,0.0
13,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
14,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
15,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
16,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
17,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
18,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
19,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
20,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
21,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,phev,0.0
22,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,ice,1010304.0
23,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration  usa_fdha $ iea_ev_explorer_no_data,ice,8347435.0
24,all,freight,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
25,all,passenger,20_USA,2017,air,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
26,all,freight,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
27,all,passenger,20_USA,2017,rail,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
28,all,freight,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
29,all,passenger,20_USA,2017,ship,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,0.0
30,lcv,freight,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,11460836.0
31,2w,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,8676023.0
32,bus,passenger,20_USA,2017,road,stocks,stocks,all,no_comment,national,yearly,8th_-_new_vtypes_and_drives  reference $ iea_ev_explorer_no_data,ice,450930.0
33,bus,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration $ usa_fdha,all,1010304.0
34,2w,passenger,20_USA,2020,road,stocks,stocks,all,no_comment,national,yearly,9th_model_first_iteration $ usa_fdha,all,8347435.0
