,vehicle_type,date,transport_type,economy,medium,measure,unit,fuel,comment,scope,frequency,dataset,drive,value
0,2w,1990,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
1,2w,1991,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
2,2w,1992,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
3,2w,1993,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
4,2w,1994,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
5,2w,1995,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
6,2w,1996,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
7,2w,1997,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
8,2w,1998,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
9,2w,1999,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
10,2w,2000,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
11,2w,2001,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
12,2w,2002,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
13,2w,2003,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
14,2w,2004,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
15,2w,2005,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
16,2w,2006,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
17,2w,2007,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
18,2w,2008,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
19,2w,2009,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
20,2w,2010,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
21,2w,2011,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
22,2w,2012,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
23,2w,2013,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
24,2w,2014,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
25,2w,2015,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
26,2w,2016,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
27,2w,2017,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
28,2w,2018,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
29,2w,2019,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
30,2w,2020,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
31,2w,2021,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
32,bus,1990,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
33,bus,1991,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
34,bus,1992,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
35,bus,1993,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
36,bus,1994,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
37,bus,1995,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
38,bus,1996,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
39,bus,1997,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
40,bus,1998,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
41,bus,1999,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
42,bus,2000,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
43,bus,2001,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
44,bus,2002,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
45,bus,2003,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
46,bus,2004,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
47,bus,2005,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
48,bus,2006,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
49,bus,2007,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
50,bus,2008,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
51,bus,2009,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
52,bus,2010,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
53,bus,2011,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,2.018867156279663
54,bus,2012,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,6.1092901584691
55,bus,2013,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,13.110725833265924
56,bus,2014,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,19.02952732147635
57,bus,2015,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,20.9372684645932
58,bus,2016,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,27.67236024051893
59,bus,2017,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,27.9351602428031
60,bus,2018,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,39.70214215762447
61,bus,2019,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,46.59839895843256
62,bus,2020,passenger,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer  historical,bev,57.762750860711186
63,others,1990,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
64,others,1991,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
65,others,1992,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
66,others,1993,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
67,others,1994,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
68,others,1995,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
69,others,1996,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
70,others,1997,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
71,others,1998,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
72,others,1999,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
73,others,2000,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
74,others,2001,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
75,others,2002,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
76,others,2003,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
77,others,2004,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
78,others,2005,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
79,others,2006,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
80,others,2007,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
81,others,2008,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
82,others,2009,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
83,others,2010,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
84,others,2011,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
85,others,2012,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
86,others,2013,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
87,others,2014,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
88,others,2015,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
89,others,2016,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
90,others,2017,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
91,others,2018,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
92,others,2019,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
93,others,2020,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
94,others,2021,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
95,all,1990,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
96,all,1991,combined,08_JPN,road,stocks,stocks,all,no_comment,national,yearly,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
