date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency,fuel,comment,scope,dataset,value
2017,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,0.36645200485829127
2017,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,2.138226028347846
2018,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,3.8318002082402978
2018,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,21.140521148887775
2019,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,22.553719410151178
2019,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,122.78517678879166
2020,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,205.86680342435724
2020,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,1035.4400172233525
2021,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,464.739994168281
2021,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,2215.665972197053
2022,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,841.6700236082073
2022,09_ROK,stocks,lcv,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical,3929.7541102266296
2020,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,0.22038059880583766
2020,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,20.83357308711044
2020,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,2.8066631847917125
2021,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,0.22307999879121057
2021,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,20.854970286994497
2021,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,2.892984584323968
2022,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,0.20752200985675545
2022,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,19.266726915119392
2022,09_ROK,stocks,ht,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,2.703654128416536
2020,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,0.14692039920389177
2020,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,13.889048724740295
2020,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,1.8711087898611418
2021,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,0.1487199991941404
2021,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,13.903313524663
2021,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,1.928656389549312
2022,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,0.1383480065711703
2022,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,12.844484610079597
2022,09_ROK,stocks,mt,stocks,road,freight,bev,yearly,all,no_comment,national,statistics_korea_stocks $ iea_ev_explorer  historical vehicle_dist_split,1.802436085611024
