date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
2010,01_AUS,activity,all,passenger_km_or_freight_tonne_km,ship,passenger,all,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,cng,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,lpg,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev_d,yearly
2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev_g,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,cng,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,lpg,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,phev_d,yearly
2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,phev_g,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,cng,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,lpg,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,phev_d,yearly
2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,phev_g,yearly
2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
