,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value
0,2000,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
1,2001,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
2,2002,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
3,2003,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
4,2004,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
5,2005,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
6,2006,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
7,2007,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
8,2008,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
9,2009,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
10,2010,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
11,2011,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
12,2012,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
13,2013,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
14,2014,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
15,2015,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
16,2016,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
17,2017,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
18,2018,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
19,2019,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,790.2983823354477
20,2020,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,887.5941390060906
21,2021,lcv,stocks,freight,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,974.6278489255527
22,2000,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
23,2001,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
24,2002,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
25,2003,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
26,2004,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
27,2005,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
28,2006,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
29,2007,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
30,2008,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
31,2009,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
32,2010,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,48.19800191521581
33,2011,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,50.474200388193
34,2012,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,52.08209960579803
35,2013,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,52.83640040636049
36,2014,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,54.21900041699396
37,2015,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,55.63260042786584
38,2016,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,57.52800228595658
39,2017,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,59.60769735038217
40,2018,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,77.28349766433153
41,2019,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,99.28839840412081
42,2020,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,112.14
43,2021,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,170.17894736842007
44,2000,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
45,2001,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
46,2002,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
47,2003,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
48,2004,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
49,2005,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
50,2006,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
51,2007,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
52,2008,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
53,2009,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
54,2010,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
55,2011,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
56,2012,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
57,2013,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
58,2014,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
59,2015,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
60,2016,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
61,2017,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
62,2018,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
63,2019,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
64,2020,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
65,2021,2_w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
66,2000,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
67,2001,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
68,2002,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
69,2003,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
70,2004,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
71,2005,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
72,2006,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
73,2007,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
74,2008,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
75,2009,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
76,2010,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
77,2011,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
78,2012,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
79,2013,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
80,2014,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
81,2015,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
82,2016,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
83,2017,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
84,2018,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
85,2019,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
86,2020,2w,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
87,2000,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
88,2001,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
89,2002,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
90,2003,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
91,2004,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
92,2005,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
93,2006,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
94,2007,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
95,2008,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
96,2009,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
97,2010,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,48.97800194621022
98,2011,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,51.28640039443956
99,2012,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,52.9262995994084
100,2013,bus,stocks,passenger,yearly,road,stocks,all,12_NZ,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,53.692000412940835
