,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value
0,2005,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
1,2006,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
2,2007,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
3,2008,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
4,2009,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
5,2010,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,1260.0480109527048
6,2011,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,2636.6080205089484
7,2012,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,3495.750138908611
8,2013,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,4342.73127877933
9,2014,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,12020.554425022267
10,2015,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,46903.20833333318
11,2016,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,85747.69786743265
12,2017,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,125669.41935483854
13,2018,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,168615.82204881863
14,2019,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,197914.93383742898
15,2020,bus,stocks,passenger,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer  historical,bev,212805.72450804996
16,1990,all,stocks,combined,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
17,1995,all,stocks,combined,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
18,2000,all,stocks,combined,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
19,2005,all,stocks,combined,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
20,2006,all,stocks,combined,yearly,road,stocks,all,05_PRC,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
