,economy,date,medium,measure,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,dataset,drive,value
0,05_PRC,2005,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
1,05_PRC,2006,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
2,05_PRC,2007,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
3,05_PRC,2008,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
4,05_PRC,2009,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
5,05_PRC,2010,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,1260.0480109527048
6,05_PRC,2011,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,2636.6080205089484
7,05_PRC,2012,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,3495.750138908611
8,05_PRC,2013,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,4342.73127877933
9,05_PRC,2014,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,12020.554425022267
10,05_PRC,2015,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,46903.20833333318
11,05_PRC,2016,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,85747.69786743265
12,05_PRC,2017,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,125669.41935483854
13,05_PRC,2018,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,168615.82204881863
14,05_PRC,2019,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,197914.93383742898
15,05_PRC,2020,road,stocks,stocks,all,no_comment,national,yearly,bus,passenger,ato  country_official_statistics $ iea_ev_explorer  historical,bev,212805.72450804996
16,05_PRC,1990,road,stocks,stocks,all,no_comment,national,yearly,all,combined,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
17,05_PRC,1995,road,stocks,stocks,all,no_comment,national,yearly,all,combined,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
18,05_PRC,2000,road,stocks,stocks,all,no_comment,national,yearly,all,combined,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
19,05_PRC,2005,road,stocks,stocks,all,no_comment,national,yearly,all,combined,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
20,05_PRC,2006,road,stocks,stocks,all,no_comment,national,yearly,all,combined,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
21,05_PRC,2007,road,stocks,stocks,all,no_comment,national,yearly,all,combined,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
