,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency
0,2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
1,2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
2,2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
3,2010,01_AUS,activity,all,passenger_km_or_freight_tonne_km,ship,passenger,all,yearly
4,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
5,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
6,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
7,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
8,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
9,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
10,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
11,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
12,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
13,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
14,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
15,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
16,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
17,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
18,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
19,2010,01_AUS,activity,car,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
20,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
21,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,cng,yearly
22,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
23,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
24,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
25,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,lpg,yearly
26,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev_d,yearly
27,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev_g,yearly
28,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
29,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,cng,yearly
30,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
31,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
32,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
33,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,lpg,yearly
34,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,phev_d,yearly
35,2010,01_AUS,activity,lcv,passenger_km_or_freight_tonne_km,road,freight,phev_g,yearly
36,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
37,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
38,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
39,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
40,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
41,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
42,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
43,2010,01_AUS,activity,lt,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
44,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
45,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,cng,yearly
46,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
47,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,ice_d,yearly
48,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,ice_g,yearly
49,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,lpg,yearly
50,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,phev_d,yearly
51,2010,01_AUS,activity,mt,passenger_km_or_freight_tonne_km,road,freight,phev_g,yearly
52,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
53,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,cng,yearly
54,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
55,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,ice_d,yearly
56,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,ice_g,yearly
57,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,lpg,yearly
58,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,phev_d,yearly
59,2010,01_AUS,activity,suv,passenger_km_or_freight_tonne_km,road,passenger,phev_g,yearly
60,2010,01_AUS,energy,2w,pj,road,passenger,bev,yearly
61,2010,01_AUS,energy,2w,pj,road,passenger,ice_d,yearly
62,2010,01_AUS,energy,2w,pj,road,passenger,ice_g,yearly
63,2010,01_AUS,energy,all,pj,air,freight,all,yearly
64,2010,01_AUS,energy,all,pj,air,passenger,all,yearly
65,2010,01_AUS,energy,all,pj,rail,freight,all,yearly
66,2010,01_AUS,energy,all,pj,rail,passenger,all,yearly
67,2010,01_AUS,energy,all,pj,ship,freight,all,yearly
68,2010,01_AUS,energy,all,pj,ship,passenger,all,yearly
69,2010,01_AUS,energy,bus,pj,road,passenger,bev,yearly
70,2010,01_AUS,energy,bus,pj,road,passenger,cng,yearly
71,2010,01_AUS,energy,bus,pj,road,passenger,fcev,yearly
72,2010,01_AUS,energy,bus,pj,road,passenger,ice_d,yearly
73,2010,01_AUS,energy,bus,pj,road,passenger,ice_g,yearly
74,2010,01_AUS,energy,bus,pj,road,passenger,lpg,yearly
75,2010,01_AUS,energy,bus,pj,road,passenger,phev_d,yearly
76,2010,01_AUS,energy,bus,pj,road,passenger,phev_g,yearly
77,2010,01_AUS,energy,car,pj,road,passenger,bev,yearly
78,2010,01_AUS,energy,car,pj,road,passenger,cng,yearly
79,2010,01_AUS,energy,car,pj,road,passenger,fcev,yearly
80,2010,01_AUS,energy,car,pj,road,passenger,ice_d,yearly
81,2010,01_AUS,energy,car,pj,road,passenger,ice_g,yearly
82,2010,01_AUS,energy,car,pj,road,passenger,lpg,yearly
83,2010,01_AUS,energy,car,pj,road,passenger,phev_d,yearly
84,2010,01_AUS,energy,car,pj,road,passenger,phev_g,yearly
85,2010,01_AUS,energy,ht,pj,road,freight,bev,yearly
86,2010,01_AUS,energy,ht,pj,road,freight,cng,yearly
87,2010,01_AUS,energy,ht,pj,road,freight,fcev,yearly
88,2010,01_AUS,energy,ht,pj,road,freight,ice_d,yearly
89,2010,01_AUS,energy,ht,pj,road,freight,ice_g,yearly
90,2010,01_AUS,energy,ht,pj,road,freight,lpg,yearly
91,2010,01_AUS,energy,ht,pj,road,freight,phev_d,yearly
92,2010,01_AUS,energy,ht,pj,road,freight,phev_g,yearly
93,2010,01_AUS,energy,lcv,pj,road,freight,bev,yearly
94,2010,01_AUS,energy,lcv,pj,road,freight,cng,yearly
95,2010,01_AUS,energy,lcv,pj,road,freight,fcev,yearly
96,2010,01_AUS,energy,lcv,pj,road,freight,ice_d,yearly
97,2010,01_AUS,energy,lcv,pj,road,freight,ice_g,yearly
98,2010,01_AUS,energy,lcv,pj,road,freight,lpg,yearly
99,2010,01_AUS,energy,lcv,pj,road,freight,phev_d,yearly
100,2010,01_AUS,energy,lcv,pj,road,freight,phev_g,yearly
101,2010,01_AUS,energy,lt,pj,road,passenger,bev,yearly
102,2010,01_AUS,energy,lt,pj,road,passenger,cng,yearly
103,2010,01_AUS,energy,lt,pj,road,passenger,fcev,yearly
104,2010,01_AUS,energy,lt,pj,road,passenger,ice_d,yearly
105,2010,01_AUS,energy,lt,pj,road,passenger,ice_g,yearly
106,2010,01_AUS,energy,lt,pj,road,passenger,lpg,yearly
107,2010,01_AUS,energy,lt,pj,road,passenger,phev_d,yearly
108,2010,01_AUS,energy,lt,pj,road,passenger,phev_g,yearly
109,2010,01_AUS,energy,mt,pj,road,freight,bev,yearly
110,2010,01_AUS,energy,mt,pj,road,freight,cng,yearly
111,2010,01_AUS,energy,mt,pj,road,freight,fcev,yearly
112,2010,01_AUS,energy,mt,pj,road,freight,ice_d,yearly
113,2010,01_AUS,energy,mt,pj,road,freight,ice_g,yearly
114,2010,01_AUS,energy,mt,pj,road,freight,lpg,yearly
115,2010,01_AUS,energy,mt,pj,road,freight,phev_d,yearly
116,2010,01_AUS,energy,mt,pj,road,freight,phev_g,yearly
117,2010,01_AUS,energy,suv,pj,road,passenger,bev,yearly
118,2010,01_AUS,energy,suv,pj,road,passenger,cng,yearly
119,2010,01_AUS,energy,suv,pj,road,passenger,fcev,yearly
120,2010,01_AUS,energy,suv,pj,road,passenger,ice_d,yearly
121,2010,01_AUS,energy,suv,pj,road,passenger,ice_g,yearly
122,2010,01_AUS,energy,suv,pj,road,passenger,lpg,yearly
123,2010,01_AUS,energy,suv,pj,road,passenger,phev_d,yearly
124,2010,01_AUS,energy,suv,pj,road,passenger,phev_g,yearly
125,2010,01_AUS,stocks,bus,stocks,road,passenger,cng,yearly
126,2010,01_AUS,stocks,bus,stocks,road,passenger,fcev,yearly
127,2010,01_AUS,stocks,bus,stocks,road,passenger,lpg,yearly
128,2010,01_AUS,stocks,car,stocks,road,passenger,cng,yearly
129,2010,01_AUS,stocks,car,stocks,road,passenger,fcev,yearly
