,date,medium,measure,transport_type,unit,vehicle_type,scope,frequency,economy,fuel,comment,dataset,drive,value
0,1990,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
1,1991,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
2,1992,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
3,1993,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
4,1994,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
5,1995,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
6,1996,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
7,1997,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
8,1998,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
9,1999,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
10,2000,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
11,2001,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
12,2002,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
13,2003,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
14,2004,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
15,2005,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
16,2006,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
17,2007,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
18,2008,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
19,2009,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
20,2010,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
21,2011,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
22,2012,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
23,2013,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
24,2014,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
25,2015,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
26,2016,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
27,2017,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
28,2018,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
29,2019,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
30,2020,road,stocks,passenger,stocks,2w,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
31,1990,road,stocks,passenger,stocks,bus,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
32,1991,road,stocks,passenger,stocks,bus,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
33,1992,road,stocks,passenger,stocks,bus,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
34,1993,road,stocks,passenger,stocks,bus,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
35,1994,road,stocks,passenger,stocks,bus,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
36,1995,road,stocks,passenger,stocks,bus,national,yearly,07_INA,all,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
