,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
0,12_NZ,stocks,lcv,road,freight,stocks,2000,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
1,12_NZ,stocks,lcv,road,freight,stocks,2001,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
2,12_NZ,stocks,lcv,road,freight,stocks,2002,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
3,12_NZ,stocks,lcv,road,freight,stocks,2003,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
4,12_NZ,stocks,lcv,road,freight,stocks,2004,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
5,12_NZ,stocks,lcv,road,freight,stocks,2005,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
6,12_NZ,stocks,lcv,road,freight,stocks,2006,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
7,12_NZ,stocks,lcv,road,freight,stocks,2007,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
8,12_NZ,stocks,lcv,road,freight,stocks,2008,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
9,12_NZ,stocks,lcv,road,freight,stocks,2009,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
10,12_NZ,stocks,lcv,road,freight,stocks,2010,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
11,12_NZ,stocks,lcv,road,freight,stocks,2011,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
12,12_NZ,stocks,lcv,road,freight,stocks,2012,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
13,12_NZ,stocks,lcv,road,freight,stocks,2013,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
14,12_NZ,stocks,lcv,road,freight,stocks,2014,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
15,12_NZ,stocks,lcv,road,freight,stocks,2015,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
16,12_NZ,stocks,lcv,road,freight,stocks,2016,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
17,12_NZ,stocks,lcv,road,freight,stocks,2017,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
18,12_NZ,stocks,lcv,road,freight,stocks,2018,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
19,12_NZ,stocks,lcv,road,freight,stocks,2019,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,790.2983823354477
20,12_NZ,stocks,lcv,road,freight,stocks,2020,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,887.5941390060906
21,12_NZ,stocks,lcv,road,freight,stocks,2021,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,974.6278489255527
22,12_NZ,stocks,bus,road,passenger,stocks,2000,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
23,12_NZ,stocks,bus,road,passenger,stocks,2001,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
24,12_NZ,stocks,bus,road,passenger,stocks,2002,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
25,12_NZ,stocks,bus,road,passenger,stocks,2003,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
26,12_NZ,stocks,bus,road,passenger,stocks,2004,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
27,12_NZ,stocks,bus,road,passenger,stocks,2005,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
28,12_NZ,stocks,bus,road,passenger,stocks,2006,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
29,12_NZ,stocks,bus,road,passenger,stocks,2007,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
30,12_NZ,stocks,bus,road,passenger,stocks,2008,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
31,12_NZ,stocks,bus,road,passenger,stocks,2009,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
32,12_NZ,stocks,bus,road,passenger,stocks,2010,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,48.19800191521581
33,12_NZ,stocks,bus,road,passenger,stocks,2011,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,50.474200388193
34,12_NZ,stocks,bus,road,passenger,stocks,2012,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,52.08209960579803
35,12_NZ,stocks,bus,road,passenger,stocks,2013,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,52.83640040636049
36,12_NZ,stocks,bus,road,passenger,stocks,2014,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,54.21900041699396
37,12_NZ,stocks,bus,road,passenger,stocks,2015,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,55.63260042786584
38,12_NZ,stocks,bus,road,passenger,stocks,2016,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,57.52800228595658
39,12_NZ,stocks,bus,road,passenger,stocks,2017,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,59.60769735038217
40,12_NZ,stocks,bus,road,passenger,stocks,2018,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,77.28349766433153
41,12_NZ,stocks,bus,road,passenger,stocks,2019,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,99.28839840412081
42,12_NZ,stocks,bus,road,passenger,stocks,2020,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,112.14
43,12_NZ,stocks,bus,road,passenger,stocks,2021,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer  historical,bev,170.17894736842007
44,12_NZ,stocks,2_w,road,passenger,stocks,2000,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
45,12_NZ,stocks,2_w,road,passenger,stocks,2001,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
46,12_NZ,stocks,2_w,road,passenger,stocks,2002,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
47,12_NZ,stocks,2_w,road,passenger,stocks,2003,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
48,12_NZ,stocks,2_w,road,passenger,stocks,2004,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
49,12_NZ,stocks,2_w,road,passenger,stocks,2005,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
50,12_NZ,stocks,2_w,road,passenger,stocks,2006,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
51,12_NZ,stocks,2_w,road,passenger,stocks,2007,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
52,12_NZ,stocks,2_w,road,passenger,stocks,2008,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
53,12_NZ,stocks,2_w,road,passenger,stocks,2009,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
54,12_NZ,stocks,2_w,road,passenger,stocks,2010,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
55,12_NZ,stocks,2_w,road,passenger,stocks,2011,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
56,12_NZ,stocks,2_w,road,passenger,stocks,2012,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
57,12_NZ,stocks,2_w,road,passenger,stocks,2013,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
58,12_NZ,stocks,2_w,road,passenger,stocks,2014,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
59,12_NZ,stocks,2_w,road,passenger,stocks,2015,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
60,12_NZ,stocks,2_w,road,passenger,stocks,2016,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
61,12_NZ,stocks,2_w,road,passenger,stocks,2017,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
62,12_NZ,stocks,2_w,road,passenger,stocks,2018,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
63,12_NZ,stocks,2_w,road,passenger,stocks,2019,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
64,12_NZ,stocks,2_w,road,passenger,stocks,2020,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
65,12_NZ,stocks,2_w,road,passenger,stocks,2021,all,yearly,national,no_comment,nz_fleet_stats $ iea_ev_explorer_no_data,bev,0.0
66,12_NZ,stocks,2w,road,passenger,stocks,2000,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
67,12_NZ,stocks,2w,road,passenger,stocks,2001,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
68,12_NZ,stocks,2w,road,passenger,stocks,2002,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
69,12_NZ,stocks,2w,road,passenger,stocks,2003,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
70,12_NZ,stocks,2w,road,passenger,stocks,2004,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
71,12_NZ,stocks,2w,road,passenger,stocks,2005,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
72,12_NZ,stocks,2w,road,passenger,stocks,2006,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
73,12_NZ,stocks,2w,road,passenger,stocks,2007,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
74,12_NZ,stocks,2w,road,passenger,stocks,2008,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
75,12_NZ,stocks,2w,road,passenger,stocks,2009,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
76,12_NZ,stocks,2w,road,passenger,stocks,2010,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
77,12_NZ,stocks,2w,road,passenger,stocks,2011,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
78,12_NZ,stocks,2w,road,passenger,stocks,2012,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
79,12_NZ,stocks,2w,road,passenger,stocks,2013,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
80,12_NZ,stocks,2w,road,passenger,stocks,2014,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
81,12_NZ,stocks,2w,road,passenger,stocks,2015,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
82,12_NZ,stocks,2w,road,passenger,stocks,2016,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
83,12_NZ,stocks,2w,road,passenger,stocks,2017,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
84,12_NZ,stocks,2w,road,passenger,stocks,2018,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
85,12_NZ,stocks,2w,road,passenger,stocks,2019,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
86,12_NZ,stocks,2w,road,passenger,stocks,2020,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
87,12_NZ,stocks,bus,road,passenger,stocks,2000,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
88,12_NZ,stocks,bus,road,passenger,stocks,2001,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
89,12_NZ,stocks,bus,road,passenger,stocks,2002,all,yearly,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,bev,0.0
