,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
0,01_AUS,stocks,2w,road,passenger,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
1,01_AUS,stocks,bus,road,passenger,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
2,01_AUS,stocks,car,road,passenger,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
3,01_AUS,stocks,ht,road,freight,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
4,01_AUS,stocks,lcv,road,freight,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
5,01_AUS,stocks,lt,road,passenger,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
6,01_AUS,stocks,mt,road,freight,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
7,01_AUS,stocks,other,road,freight,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
8,01_AUS,stocks,suv,road,passenger,stocks,2016,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
9,01_AUS,stocks,2w,road,passenger,stocks,2020,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
10,01_AUS,stocks,bus,road,passenger,stocks,2020,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
11,01_AUS,stocks,car,road,passenger,stocks,2020,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
12,01_AUS,stocks,ht,road,freight,stocks,2020,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
13,01_AUS,stocks,lcv,road,freight,stocks,2020,all,yearly,national,no_comment,aus_census $ iea_ev_explorer_no_data,bev,0.0
