date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency,fuel,scope,comment,dataset,value
2023,06_HKC,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2023,06_HKC,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2010,16_RUS,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2015,16_RUS,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2017,16_RUS,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2018,16_RUS,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2019,16_RUS,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2013,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2014,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2015,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2016,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2017,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2018,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2019,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2020,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2021,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2022,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2023,17_SGP,stocks,2w,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2013,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2014,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2015,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2016,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2017,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2018,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
2019,17_SGP,stocks,bus,stocks,road,passenger,bev,yearly,all,national,no_comment,ato  country_official_statistics $ iea_ev_explorer_no_data,
