,economy,measure,vehicle_type,medium,transport_type,unit,date,fuel,frequency,scope,comment,dataset,drive,value
0,06_HKC,stocks,2w,road,passenger,stocks,2023,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,426.7070244329463
1,06_HKC,stocks,bus,road,passenger,stocks,2023,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,95.84165051772887
2,06_HKC,stocks,truck,road,freight,stocks,2023,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,590.9392445153175
3,06_HKC,stocks,all,road,combined,stocks,2023,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,67724.0860287177
36,17_SGP,stocks,2w,road,passenger,stocks,2013,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,5.214342457429079
37,17_SGP,stocks,2w,road,passenger,stocks,2014,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,3.4762283049527194
38,17_SGP,stocks,2w,road,passenger,stocks,2015,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,1.7381141524763597
39,17_SGP,stocks,2w,road,passenger,stocks,2016,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,1.7381141524763597
40,17_SGP,stocks,2w,road,passenger,stocks,2017,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,1.7381141524763597
41,17_SGP,stocks,2w,road,passenger,stocks,2018,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,1.7381141524763597
42,17_SGP,stocks,2w,road,passenger,stocks,2019,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,1.7381141524763597
43,17_SGP,stocks,2w,road,passenger,stocks,2020,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,0.8690570762381798
44,17_SGP,stocks,2w,road,passenger,stocks,2021,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,4.345285381190899
45,17_SGP,stocks,2w,road,passenger,stocks,2022,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,99.94156376739068
46,17_SGP,stocks,2w,road,passenger,stocks,2023,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,234.64541058430856
47,17_SGP,stocks,bus,road,passenger,stocks,2013,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,2.66495508226356
48,17_SGP,stocks,bus,road,passenger,stocks,2014,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,2.395028159504441
49,17_SGP,stocks,bus,road,passenger,stocks,2015,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,3.276282472161596
50,17_SGP,stocks,bus,road,passenger,stocks,2016,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,3.470964321898502
51,17_SGP,stocks,bus,road,passenger,stocks,2017,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,4.508492288771711
52,17_SGP,stocks,bus,road,passenger,stocks,2018,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,24.834313904884638
53,17_SGP,stocks,bus,road,passenger,stocks,2019,all,yearly,national,no_comment,ato $ country_official_statistics $ iea_ev_explorer $ historical,bev,55.822572416517986
