,Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency_x,Measure,Unit_x,Dataset,Scope,Comments,Fuel,Source,Value,Frequency_y,Unit_y,_merge
6385,road,passenger,2w,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6386,road,passenger,2w,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6387,road,passenger,2w,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6388,road,passenger,bus,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6389,road,passenger,bus,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6390,road,passenger,bus,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6391,road,passenger,bus,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6392,road,passenger,bus,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6393,road,passenger,bus,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6394,road,passenger,bus,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6395,road,passenger,bus,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6396,road,passenger,car,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6397,road,passenger,car,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6398,road,passenger,car,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6399,road,passenger,car,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6400,road,passenger,car,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6401,road,passenger,car,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6402,road,passenger,car,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6403,road,passenger,car,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6404,road,passenger,lt,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6405,road,passenger,lt,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6406,road,passenger,lt,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6407,road,passenger,lt,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6408,road,passenger,lt,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6409,road,passenger,lt,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6410,road,passenger,lt,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6411,road,passenger,lt,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6412,road,passenger,suv,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6413,road,passenger,suv,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6414,road,passenger,suv,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6415,road,passenger,suv,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6416,road,passenger,suv,ice_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6417,road,passenger,suv,lpg,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6418,road,passenger,suv,phev_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6419,road,passenger,suv,phev_g,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6420,road,freight,ht,bev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6421,road,freight,ht,cng,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6422,road,freight,ht,fcev,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
6423,road,freight,ht,ice_d,2017-12-31,01_AUS,,Activity,,,,,,,,Yearly,Passenger_km_or_freight_tonne_km,right_only
